target_word	sim_word	is_sim
渲美	TB	0
age	fl	0
桑席猫	kayi	0
by	kayi	0
wo	ley	0
za	lz	0
ng	lz	0
联想	ovo	0
Len	ovo	0
Pr	she	0
Fi	she	0
费雪	she	0
金钻淡	之欢	0
雪润皙	亮皙	0
水润亮	亮皙	0
藏式	佛珠	0
小叶	佛珠	0
单圈	佛珠	0
手串	佛珠	0
菩提	佛珠	0
菩提子	佛珠	0
多圈	佛珠	0
石玥珠宝	佛珠	0
无关	原由	0
吸出	吸走	0
咖无痕	咖前扣	0
贡缎	床品套件	0
念珠菌	抑制作用	0
漆光	持色	0
溢彩	持色	0
理发器	推剪	0
剃头刀	推剪	0
电推子	推剪	0
描绘出	描绘	1
描画	描绘	1
调色	柔焦	0
aso	洗护品牌	0
阿瓦隆	洗护品牌	0
助兴	涎香	0
重塑	激活	0
帆布背包	爱华仕	0
即视	纹眉	0
转运	足金	0
硬金	足金	1
路路通	足金	0
和田玉	足金	0
生肖	足金	0
六面	配对	0
睡眠博士	释压	0
电解	镀铜	0
午餐	面碗	0
汤碗	面碗	1
素颜霜	颜霜	1
JOWAY	乔威	0
iv	信美肌	0
吕含	光耀	0
热灸	冰爽冷	0
圆目	冰爽冷	0
半身裙	半身	1
短裙	半身	0
百褶裙	半身	0
裙套装	半身	0
受热	导热	1
净透	水感	0
水漾	水感	1
水嫩	水感	1
皮夹子	皮夹	1
DUER	皮夹	0
男士钱包	皮夹	0
长袖	短袖	1
无袖	短袖	1
Biore	碧柔	0
幸会	秦时	0
明月	秦时	0
嫩叶	联排	0
米粉	英氏	0
营养成分	蛋白质	0
矿物质	蛋白质	0
胶原蛋白	蛋白质	0
拼假	袖假	0
装假	袖假	0
金框	银框	0
鞋头	防撞	0
冰川	阿尔卑斯	0
馨香	馥郁	0
清甜	馥郁	0
幽香	馥郁	0
花果	馥郁	0
驱蚊手环	驱蚊贴	1
手带	驱蚊贴	0
CAMEL	骆驼	0
CL2018	KDN2018	0
YYM	KDN2018	0
YYM2018	KDN2018	0
pf	Sc	0
金致润	Sc	0
怡然	Sc	0
hw	Sc	0
zk	Sc	0
W6120	W1705	0
欧时力	ochirly	0
新女	ochirly	0
it	sk	0
恶露	产前	0
月子	产前	0
产妇	产前	0
护目	偏光镜	0
偏光	偏光镜	1
光滑度	光亮度	0
农心	冷面	0
膨化食品	南瓜籽	0
卷发器	卷发夹	1
隔离霜	妆前乳	0
底霜	妆前乳	0
修颜	妆前乳	0
修颜乳	妆前乳	0
隔离乳	妆前乳	1
水水	嫩嫩	0
空位	孔位	0
sisley	希思黎	0
陈小春	张一山	0
Lannier	张一山	0
K14	张一山	0
hp	惠普	0
喷墨	惠普	0
夹顶	扭夹	0
梵莉思	欧洲站	0
香蕉船	水宝宝	0
淡淡的	淡淡	1
半身裙	牛仔裙	0
古迹	现代文明	0
趾夹脚	趾拼色	0
杯面	铺陈	0
罩面	铺陈	0
铺满	铺陈	0
胡椒	麝香	0
尾调	麝香	0
佛手柑	麝香	0
白麝香	麝香	1
木香	麝香	1
小苍兰	麝香	0
广藿香	麝香	0
MZE	KJJ	0
NTS	KJJ	0
新百伦	LINING	0
摩飞	MORPHY	0
RICHARDS	MORPHY	0
绞肉	MORPHY	0
婴肌幻	WONJIN	0
原辰	WONJIN	0
EFFECT	WONJIN	0
Davi	dof	0
卡迪	dof	0
Ve	dof	0
蜗牛	伊思	0
美洲野牛	公文包	0
竖款	公文包	0
横款	公文包	0
商务公文包	公文包	1
斐格	公文包	0
电脑包	公文包	0
精华乳	华露	1
精华液	华露	1
发晶	单串	0
紫黄晶	单串	0
PULASI	名品	0
精剂	含杀	0
全资	周黑鸭	0
子公司	周黑鸭	0
主营	周黑鸭	0
有限公司	周黑鸭	0
湖北	周黑鸭	0
牛皮	头层	0
佩奇	小猪	0
带筋	拉片	0
国语	拉鲁斯	0
抗拒	无法	0
忆梦思	明瑟	0
鼠标垫	桌垫	0
党参	椴树	0
枣花	椴树	0
波美	椴树	0
源蜜	椴树	0
蜂业	椴树	0
采蜜	椴树	0
五味子	椴树	0
全家装	母女装	0
亲子装	母女装	0
烟熏	流云	0
残妆	浊质	0
ATH	爱科技	0
魔音	爱科技	0
AKG	爱科技	0
茉莉花茶	碧螺春	0
铁观音	碧螺春	0
限位	美发造型	0
象牙色	自然色	0
平安扣	金镶玉	0
和田玉	金镶玉	0
晶致	钻白	0
环采	钻白	0
肌因	钻白	0
光蕴	钻白	0
防勾丝不	露趾鱼	0
木条	香樟	0
木块	香樟	0
牛肉	鳕鱼	0
鸡肉	鳕鱼	0
伊威	鳕鱼	0
番茄	鳕鱼	0
彩宝	黄水晶	0
玉髓	黄水晶	0
托帕石	黄水晶	0
紫晶	黄水晶	0
橄榄石	黄水晶	0
紫水晶	黄水晶	1
LOM	EVE	0
小王子	MW	0
BOOST	NewB	0
SPF30	SPF50	1
隔离霜	SPF50	0
PA	SPF50	0
SPF22	SPF50	0
SPF25	SPF50	0
妆前乳	SPF50	0
隔离乳	SPF50	0
SPF35	SPF50	0
cr	Se	0
彻夜	WRAP	0
MOISTURE	WRAP	0
了解	事物	0
士女	健乐	0
美容工具	刮眉刀	0
修眉	刮眉刀	0
眉刀	刮眉刀	0
刮眉	刮眉刀	0
俯卧撑	动感单车	0
跑步机	动感单车	0
健身车	动感单车	0
安慕希	常温	0
丝亮	幻魅	0
TOM	幻魅	0
FORD	幻魅	0
换向	座位	0
前轮	座位	0
碧根果	开心果	0
玉米片	开心果	0
蚕豆	开心果	0
炒米	开心果	0
麻辣味	开心果	0
腰果	开心果	0
豆干	开心果	0
瓜子仁	开心果	0
散装	开心果	0
巴旦木	开心果	0
泡椒	开心果	0
酸角糕	开心果	0
猫哆哩	开心果	0
牛轧	开心果	0
卫生巾	护垫	0
挂袋	挂篮	0
晚间	日间	1
瑕疵	暗沉	0
皱纹	暗沉	0
不均	暗沉	0
色斑	暗沉	0
明显	暗沉	0
暗哑	暗沉	1
细纹	暗沉	0
痘痘	暗沉	0
痘印	暗沉	0
黯沉	暗沉	1
粗糙	暗沉	0
粗大	暗沉	0
HUI	欧惠	0
ohui	欧惠	0
毛球修剪器	毛器	0
滚筒	毛器	0
除尘	毛器	0
乳化	溶解	0
洗净	溶解	0
MOILIP	焕颜恒	0
色凝	焕颜恒	0
足金	生肖	0
白晶	白活	0
优活	白活	0
面部	脸部	1
叮咬	蚊虫	0
表壳	表身	0
谐音	观音	0
Shiseido	资生堂	0
透肉	连裤	0
长裙	雪纺连衣裙	0
蕾丝连衣裙	雪纺连衣裙	0
FOREO	露娜	0
LUNA	露娜	0
单花	青海	0
养生茶	青海	0
显色	饱和	0
牌原	麻辣味	0
康师傅	麻辣味	0
CW1868	CW1833	0
W7201	CW1833	0
CW1860	CW1833	0
CW1861	CW1833	0
WC1835	CW1833	0
CW1870	CW1833	0
Pr	Fi	0
she	Fi	0
ice	Fi	0
Pe	Fix	0
KJJ	NTS	0
男短	NTS	0
温碧泉	PROYA	0
珀莱雅	PROYA	0
WETHERM	PROYA	0
RIDER	SKULL	0
W606	W1708	0
CW1870	W1708	0
Di	sn	0
ey	sn	0
嫩白	亮白	1
美白	亮白	1
净白	亮白	1
直喷	保时捷	0
八心	八箭	0
银八心	八箭	0
钻戒	八箭	0
击退	减淡	0
幼纹	减淡	0
美满	华光	0
明瑟	忆梦思	0
im	忆梦思	0
瀚黎	忆梦思	0
吐奶	打嗝	0
曼哈顿	抓球	0
摇铃	抓球	0
牙膏	护龈	0
计步器	来电显示	0
短信	来电显示	0
MAMBO2	来电显示	0
计步	来电显示	0
MAMBO	来电显示	0
拒接	来电显示	0
心率	来电显示	0
篮球	比赛	0
后天	气丹	0
花献	气丹	0
夜来香	沉迷	0
卸妆	洁面	0
去角质	洁面	0
洁肤	洁面	1
洗面奶	洁面	1
活炭	激能	0
黑茶	激能	0
中医	理疗	0
热敷	理疗	0
疲倦	疲惫	1
白蔹	白芨	0
七种	白芨	0
白芍	白芨	0
蒂普提克	祖.玛珑	0
MALONE	祖.玛珑	0
JO	祖.玛珑	0
精萃	精华	1
精粹	精华	1
人际关系	艺术创作	0
角质	角质层	1
细胞	角质层	0
底层	角质层	1
BQ	运动夹克	0
食肉	金枪鱼	0
肉松	金枪鱼	0
小馒头	金枪鱼	0
含片	龙角散	0
WR	ADICTK	0
ADITSG1	ADICTK	0
ADITSG2	ADICTK	0
GYB	ADICTK	0
TSG2v	ADICTK	0
GYBU	ADICTK	0
BBU	ADICTK	0
BKR	ADICTK	0
DYXG2018	DYXG	0
戒烟	IQOS	0
张一山	K14	0
FACE	MISS	0
IPho	Pio	0
as	so	0
中秋月饼	中秋节	0
胶原	人参	0
积雪草	人参	0
薇诺娜	修红	0
POSAY	修红	0
特护	修红	0
锻炼身体	健脑	0
安岳	冻干	0
丝瓜	千纤草	0
手眼	协调	0
锻炼	协调	0
彩妆工具	单支	0
美容工具	单支	0
掏耳朵	单支	0
KLEIN	卡雷	0
优淡	卡雷	0
卡雷优	卡雷	0
卡莱	卡雷	0
CALVIN	卡雷	0
卷纸	卫生纸	1
洁柔	卫生纸	0
面巾纸	卫生纸	0
厕纸	卫生纸	1
斑布	卫生纸	0
纹眉	即视	0
空洞	发尾	0
毛躁	发尾	0
分叉	发尾	0
毛糙	发尾	0
活套	外罩	0
雅韵	天成	0
字式	字带	0
牛肚	小黄鱼	0
果糕	小黄鱼	0
足片	小黄鱼	0
甘栗仁	小黄鱼	0
弯檐	平沿	0
大波浪	拉直	0
皇马	曼联	0
水源	木槿	0
桐乡	杭白菊	0
菊苣	杭白菊	0
洁面乳	洁面膏	1
油性	混合性	0
润膏	睿嫣	0
博倩	睿嫣	0
柔艳	睿嫣	0
ReEn	睿嫣	0
Ryoe	睿嫣	0
白衬衫	纯色衬衫	0
飒爽	英气	0
裙衣	裙衫	0
FARLIN	防呛	0
安儿欣	防呛	0
喂药	防呛	0
贝比	防呛	0
华林	防呛	0
雅罗姿	Aroiz	0
蝶翠诗	DHC	0
多莱斯	DURALEX	0
格朗	GL	0
燃情	HUGO	0
非我莫属	HUGO	0
喷式	HUGO	0
BOSS	HUGO	0
JD48	JD36	0
公司	MAPA	0
CW1861	WC1835	0
CW1833	WC1835	0
CW1862	WC1835	0
CW1860	WC1835	0
公鸡	lecoqsportif	0
乐卡克	lecoqsportif	0
An	sui	0
天丝夏	七孔	0
维维	七孔	0
绽现	再现	1
回复	再现	0
星座	十二	0
发酵	大豆	0
马丁靴	女靴	0
短靴	女靴	0
眼妆	底妆	1
遮瑕	底妆	1
妆容	底妆	1
三键	手机耳机	0
铁三角	手机耳机	0
无线耳机	手机耳机	0
立体声	手机耳机	0
爱科技	手机耳机	0
线控	手机耳机	0
耳麦	手机耳机	0
ATH	手机耳机	0
重低音	手机耳机	0
HIFI	手机耳机	0
耳塞式	手机耳机	0
入耳式	手机耳机	0
魔音	手机耳机	0
Bea	手机耳机	0
AKG	手机耳机	0
净油	抗痘	0
清痘	抗痘	1
十二	星座	0
m37	水漾沁	0
清源	率享	0
红华	率享	0
凝香平	率享	0
后津	率享	0
硬金	珠宝黄金	0
金饰品	珠宝黄金	0
棉袜	短袜	0
中筒	短袜	0
短筒袜	短袜	1
